V_AVG_TARGET,V_FLOOR,Fuel_mL,Real_Avg_Speed,Total_Time_Min
25.1,12.0,47.21392408926784,30.25690625667646,29.157499999982612
25.380000000000003,12.0,47.21392408926784,30.25690625667646,29.157499999982612
25.66,12.0,47.21392408926784,30.25690625667646,29.157499999982612
25.94,12.0,47.21392408926784,30.25690625667646,29.157499999982612
26.22,12.0,47.21392408926784,30.25690625667646,29.157499999982612
26.5,12.0,47.21392408926784,30.25690625667646,29.157499999982612
25.66,15.0,48.16735846643456,31.528762636195378,27.981666666650348
25.1,15.0,48.16735846643456,31.528762636195378,27.981666666650348
26.22,15.0,48.16735846643456,31.528762636195378,27.981666666650348
25.94,15.0,48.16735846643456,31.528762636195378,27.981666666650348
25.380000000000003,15.0,48.16735846643456,31.528762636195378,27.981666666650348
26.5,15.0,48.16735846643456,31.528762636195378,27.981666666650348
25.380000000000003,18.0,51.04717050131407,32.850711754728636,26.854999999984706
25.66,18.0,51.04717050131407,32.850711754728636,26.854999999984706
25.94,18.0,51.04717050131407,32.850711754728636,26.854999999984706
25.1,18.0,51.04717050131407,32.850711754728636,26.854999999984706
26.22,18.0,51.04717050131407,32.850711754728636,26.854999999984706
26.5,18.0,51.04717050131407,32.850711754728636,26.854999999984706
