V_AVG_TARGET,V_PULSE_STOP,Fuel_mL,Actual_Avg_Speed,Lap_Time_S
25.1,40.0,13.011577123850758,28.562137678604028,463.30000000007107
25.3,40.0,13.011577123850758,28.562137678604028,463.30000000007107
25.5,40.0,13.011577123850758,28.562137678604028,463.30000000007107
26.0,40.0,13.011577123850758,28.562137678604028,463.30000000007107
25.3,36.0,13.021058241102475,28.18830193164777,469.45000000007246
25.5,36.0,13.021058241102475,28.18830193164777,469.45000000007246
25.1,36.0,13.021058241102475,28.18830193164777,469.45000000007246
25.3,38.0,13.077689171645002,28.622363489535147,462.30000000007084
25.5,38.0,13.077689171645002,28.622363489535147,462.30000000007084
25.1,38.0,13.077689171645002,28.622363489535147,462.30000000007084
26.0,38.0,13.077689171645002,28.622363489535147,462.30000000007084
25.1,42.0,13.28420608847183,29.687037329291787,445.70000000006706
25.3,42.0,13.28420608847183,29.687037329291787,445.70000000006706
26.0,42.0,13.28420608847183,29.687037329291787,445.70000000006706
25.5,42.0,13.28420608847183,29.687037329291787,445.70000000006706
26.0,36.0,13.378829239791813,28.358160527092682,466.6500000000718
25.1,34.0,13.514424481013773,27.468753448547265,481.70000000007525
25.5,34.0,13.514424481013773,27.468753448547265,481.70000000007525
25.3,34.0,13.514424481013773,27.468753448547265,481.70000000007525
26.0,34.0,13.514424481013773,27.468753448547265,481.70000000007525
25.5,44.0,13.594626590862983,31.205447288956652,424.00000000006213
25.3,44.0,13.594626590862983,31.205447288956652,424.00000000006213
26.0,44.0,13.594626590862983,31.205447288956652,424.00000000006213
25.1,44.0,13.594626590862983,31.205447288956652,424.00000000006213
25.1,46.0,13.658185029802647,30.64722349215573,431.7000000000639
26.0,46.0,13.658185029802647,30.64722349215573,431.7000000000639
25.3,46.0,13.658185029802647,30.64722349215573,431.7000000000639
25.5,46.0,13.658185029802647,30.64722349215573,431.7000000000639
26.0,32.0,13.72118162234901,27.762196548326198,476.6000000000741
25.1,32.0,13.72118162234901,27.762196548326198,476.6000000000741
25.3,32.0,13.72118162234901,27.762196548326198,476.6000000000741
25.5,32.0,13.72118162234901,27.762196548326198,476.6000000000741
25.1,28.0,13.889067244520271,25.480919972637285,519.3000000000754
25.3,30.0,14.081308853202541,26.624563912120692,497.0000000000787
26.0,30.0,14.081308853202541,26.624563912120692,497.0000000000787
25.1,30.0,14.081308853202541,26.624563912120692,497.0000000000787
25.5,30.0,14.081308853202541,26.624563912120692,497.0000000000787
26.0,28.0,14.456167705542935,26.49063134785428,499.5000000000793
25.3,28.0,14.577729150016648,25.858066225559522,511.7500000000821
25.5,28.0,14.84018919167075,26.311648619278074,502.90000000008007
